SubCategory;Value;Type;Year;Month;Category
Efectivo;500;A;2019;12;Activos
Depósitos en bancos:;;A;2019;12;Activos
A la vista - locales;1067016;A;2019;12;Activos
A la vista - extranjeros;696448;A;2019;12;Activos
Total de depósitos en bancos;1763464;A;2019;12;
Total de efectivo y depósitos en bancos;"6,17
1,763,964";A;2019;12;
Arrendamientos financieros por cobrar;29197177;A;2019;12;Activos
Préstamos comerciales;1202243;A;2019;12;Activos
Factorajes por cobrar;134404972;A;2019;12;Activos
;164804392;A;2019;12;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y;;A;2019;12;Activos
factorajes por cobrar;1495708;A;2019;12;Activos
Intereses y comisiones no ganados;20265;A;2019;12;Activos
Arrendamientos financieros, préstamos comerciales;;A;2019;12;Activos
y factorajes por cobrar a costo amortizado;"7,17
163,288,419";A;2019;12;Activos
Impuesto diferido;"8
272,536";A;2019;12;Activos
Otros activos;"9
1,829,045";A;2019;12;Activos
Total de activos;167153964;A;2019;12;
Total;;T;2019;12;
"Consolidado
Activos";Eliminaciones Bicsa Leasing, S.A. Bicsa Factoring, S.A.;T;2019;12;Activos
Efectivo;500;T;2019;12;Activos
Depósitos en bancos:;;T;2019;12;Activos
A la vista - locales;1067016;T;2019;12;Activos
A la vista - extranjeros;696448;T;2019;12;Activos
A plazo - locales;;T;2019;12;Activos
Total de depósitos en bancos;1763464;T;2019;12;
Total de efectivo y depósitos en bancos;1763964;T;2019;12;
Inversiones en títulos de valores;{500,000);T;2019;12;Activos
Arrendamientos financieros por cobrar;"29,197,177
.";T;2019;12;Activos
Préstamos comerciales;"1,202,243
-";T;2019;12;Activos
Factorajes por cobrar;134404972;T;2019;12;Activos
;"164,804,392
-";T;2019;12;
Menos. Reserva para arrendamientos financieros, préstamos;;T;2019;12;Activos
comerciales y factorajes por cobrar;1678594;T;2019;12;Activos
Intereses y comisiones no ganados;20.265;T;2019;12;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por;;T;2019;12;Activos
cobrar, neto;163105.533;T;2019;12;Activos
Impuesto Diferido;272536;T;2019;12;Activos
Otros activos;1.829.045;T;2019;12;Activos
Total de activos;"166,971,078
(500,000)";T;2019;12;
Activos;2019;T;2019;3;Activos
Efectivo;500;T;2019;3;Activos
Depósitos en bancos:;;T;2019;3;Activos
A la vista - locales;2.102,115;T;2019;3;Activos
A la vista - extranjeros;185408;T;2019;3;Activos
Total de depósitos en bancos;2287523;T;2019;3;
Total de efectivo y depósitos en bancos;2.288,023;T;2019;3;
Arrendamientos financieros por cobrar;11203221;T;2019;3;Activos
Préstamos comerciales;1202.874;T;2019;3;Activos
Factorajes por cobrar;"102.499,917
114,906,012";T;2019;3;Activos
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes por cobrar;1.244,935;T;2019;3;Activos
Intereses y comisiones no ganados;27523;T;2019;3;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, neto;113633554;T;2019;3;Activos
Otros activos;803.301;T;2019;3;Activos
Total de activos;116724878;T;2019;3;
;Junio;T;2019;6;
Activos;2019;T;2019;6;Activos
Efectivo;500;T;2019;6;Activos
Depósitos en bancos:;;T;2019;6;Activos
A la vista - locales;2357581;T;2019;6;Activos
A la vista - extranjeros;127715;T;2019;6;Activos
A plazo - extranjeros;2430013;T;2019;6;Activos
Total de depósitos en bancos;4915309;T;2019;6;
Total de efectivo y depósitos en bancos;"6,16
4,915,809";T;2019;6;
Arrendamientos financieros por cobrar;16564104;T;2019;6;Activos
Préstamos comerciales;1200901;T;2019;6;Activos
Factorajes por cobrar;93607170;T;2019;6;Activos
;!11,372,175;T;2019;6;
Menos: Reserva para arrendamientos financieros, prestamos comerciales y factorajes por cobrar;1329957;T;2019;6;Activos
Intereses y comisiones no ganados;25046;T;2019;6;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, nete;"7,16
110.017,172";T;2019;6;Activos
Otros activos;"9
1.568,29!";T;2019;6;Activos
Total de activos;116.501,272;T;2019;6;Activos
;Septiembre;T;2019;9;
Activos;2019;T;2019;9;Activos
Efectivo;500;T;2019;9;Activos
Depósitos en bancos:;;T;2019;9;Activos
A la vista - locales;4177971;T;2019;9;Activos
A la vista - extranjeros;153700;T;2019;9;Activos
Total de depósitos en bancos;4331671;T;2019;9;
Total de efectivo y depósitos en bancos;"6,17
4,332,171";T;2019;9;
Arrendamientos financieros por cobrar;21377631;T;2019;9;Activos
Préstamos comerciales;1.199,664;T;2019;9;Activos
Factorajes por cobrar;101.533,701;T;2019;9;Activos
;124110996;T;2019;9;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes por cobrar;1637316;T;2019;9;Activos
Intereses y comisiones no ganados;22657;T;2019;9;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, net‹;"7,17
122,451,023";T;2019;9;Activos
Impuesto Diferido;194272;T;2019;9;Activos
Otros activos;"9
1.263,206";T;2019;9;Activos
Total de activos;128240672;T;2019;9;
Activos;2020;A;2020;12;Activos
Efectivo;500;A;2020;12;Activos
Depósitos en bancos:;;A;2020;12;Activos
A la vista - locales;3925675;A;2020;12;Activos
A la vista - extranjeros;1022247;A;2020;12;Activos
Total de efectivo y depósitos en bancos;"6,18
4,948,422";A;2020;12;
Arrendamientos financieros;43912102;A;2020;12;Activos
Préstamos comerciales;1200177;A;2020;12;Activos
Factorajes por cobrar;156184943;A;2020;12;Activos
;201297222;A;2020;12;
Menos: Reserva para arrendamientos financieros, préstamos comerciales;;A;2020;12;Activos
y factorajes por cobrar;2088258;A;2020;12;Activos
Intereses y comisiones no ganados;13405;A;2020;12;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar a costo amortizado;"7,18
199,195,559";A;2020;12;Activos
Activo intangible;"8
70,028";A;2020;12;Activos
Impuesto diferido;423343;A;2020;12;Activos
Otros activos;"10
1,803,065";A;2020;12;Activos
Total de activos;206440417;A;2020;12;
Activos;2020;T;2020;12;Activos
Efectivo;500;T;2020;12;Activos
Depósitos en bancos:;;T;2020;12;Activos
A la vista - locales;3925675;T;2020;12;Activos
A la vista - extranjeros;1022247;T;2020;12;Activos
Total de efectivo y depósitos en bancos;4948422;T;2020;12;
Arrendamientos financieros;43912102;T;2020;12;Activos
Préstamos comerciales;1200177;T;2020;12;Activos
Factorajes por cobrar;156184943;T;2020;12;Activos
;201297222;T;2020;12;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;2088258;T;2020;12;Activos
Intereses y comisiones no ganado:;13405;T;2020;12;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, net;199195559;T;2020;12;Activos
Activo intangible;70028;T;2020;12;Activos
Impuesto diferido;423343;T;2020;12;Activos
Otros activos;3447362;T;2020;12;Activos
Total de activos;208084714;T;2020;12;
Activos;;T;2020;3;Activos
Efectivo;500;T;2020;3;Activos
Depósitos en bancos:;;T;2020;3;Activos
A la vista - locales;3094005;T;2020;3;Activos
A la vista - extranjeros;458235;T;2020;3;Activos
Total de depósitos en bancos;3552240;T;2020;3;
Total de efectivo y depósitos en bancos;"6,17
3,552,740";T;2020;3;
Arrendamientos financieros por cobrar;42761452;T;2020;3;Activos
Préstamos comerciales;1195800;T;2020;3;Activos
Factorajes por cobrar;148721785;T;2020;3;Activos
;192679037;T;2020;3;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;1696145;T;2020;3;Activos
Intereses y comisiones no ganados;17836;T;2020;3;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, net;"7,17
190,965,056";T;2020;3;Activos
Impuesto diferido;312536;T;2020;3;Activos
Otros activos;"9
2,325,531";T;2020;3;Activos
Total de activos;197155863;T;2020;3;
;Junio;T;2020;6;
Activos;2020;T;2020;6;Activos
Efectivo;500;T;2020;6;Activos
Depósitos en bancos:;;T;2020;6;Activos
A la vista - locales;107901;T;2020;6;Activos
A la vista - extranjeros;1239925;T;2020;6;Activos
Total de depósitos en bancos;1347826;T;2020;6;
Total de efectivo y depósitos en bancos;1348326;T;2020;6;
Arrendamientos financieros por cobrar;44532534;T;2020;6;Activos
Préstamos comerciales;1200465;T;2020;6;Activos
Factorajes por cobrar;148597741;T;2020;6;Activos
;194330740;T;2020;6;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;2200552;T;2020;6;Activos
Intereses y comisiones no ganado!;23582;T;2020;6;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, net;192106606;T;2020;6;Activos
Impuesto diferido;312536;T;2020;6;Activos
Otros activos;2100918;T;2020;6;Activos
Total de activos;195868386;T;2020;6;
;Septiembre;T;2020;9;
Activos;2020;T;2020;9;Activos
Efectivo;500;T;2020;9;Activos
Depósitos en bancos:;;T;2020;9;Activos
A la vista - locales;153131;T;2020;9;Activos
A la vista - extranjeros;416351;T;2020;9;Activos
A plazo - locales;10710019;T;2020;9;Activos
Total de efectivo y depósitos en bancos;11280001;T;2020;9;
Arrendamientos financieros;43948529;T;2020;9;Activos
Préstamos comerciales;1193949;T;2020;9;Activos
Factorajes por cobrar;134262444;T;2020;9;Activos
;179404922;T;2020;9;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;2375171;T;2020;9;Activos
Intereses y comisiones no ganados;18449;T;2020;9;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar, neto;177011302;T;2020;9;Activos
Impuesto diferido;397000;T;2020;9;Activos
Otros activos;2734990;T;2020;9;Activos
Total de activos;191423293;T;2020;9;
Activos;-2021;A;2021;12;Activos
Efectivo;501;A;2021;12;Activos
Depósitos en bancos:;;A;2021;12;Activos
A la vista - locales;6064891;A;2021;12;Activos
A la vista - extranjeros;1104486;A;2021;12;Activos
A plazo - locales;7890014;A;2021;12;Activos
Total de depósitos en bancos;15059391;A;2021;12;
Total de efectivo y depósitos en bancos;"6, 18
15,059,892";A;2021;12;
Arrendamientos financieros;43149704;A;2021;12;Activos
Préstamos comerciales;1192142;A;2021;12;Activos
Factorajes por cobrar;174414966;A;2021;12;Activos
;218756812;A;2021;12;
Menos: Reserva para arrendamientos financieros, préstamos comerciales;;A;2021;12;Activos
y factorajes por cobrar;2061195;A;2021;12;Activos
Intereses y comisiones no ganados;5179;A;2021;12;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar a costo amortizado;"7, 18
216,690,438";A;2021;12;Activos
Activo intangible;"8
56,178";A;2021;12;Activos
Impuesto diferido;"9
394,501";A;2021;12;Activos
Otros activos;"10
2,123,289";A;2021;12;Activos
Total de activos;234324298;A;2021;12;
Activos;2021;T;2021;12;Activos
Efectivo;501;T;2021;12;Activos
Depósitos en bancos:;;T;2021;12;Activos
A la vista - locales;6064891;T;2021;12;Activos
A la vista - extranjeros;1104486;T;2021;12;Activos
A plazo - locales;7890014;T;2021;12;Activos
Total de depósitos en bancos;15059391;T;2021;12;
Total de efectivo y depósitos en bancos;15059892;T;2021;12;
Arrendamientos financieros;43149704;T;2021;12;Activos
Préstamos comerciales;1192142;T;2021;12;Activos
Factorajes por cobrar;174414966;T;2021;12;Activos
;218756812;T;2021;12;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;2061195;T;2021;12;Activos
Intereses y comisiones no ganados;5179;T;2021;12;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar a costo amortiza 7,18;216690438;T;2021;12;Activos
Activo intangible;56178;T;2021;12;Activos
Impuesto diferido;394501;T;2021;12;Activos
Otros activos;2123289;T;2021;12;Activos
Total de activos;234324298;T;2021;12;
Activos;2021;T;2021;3;Activos
Efectivo;500;T;2021;3;Activos
Depósitos en bancos:;;T;2021;3;Activos
A la vista - locales;4522727;T;2021;3;Activos
A la vista - extranjeros;1134390;T;2021;3;Activos
Total de efectivo y depósitos en bancos;10287625;T;2021;3;
Arrendamientos financieros;44976196;T;2021;3;Activos
Préstamos comerciales;1198280;T;2021;3;Activos
Factorajes por cobrar;154053638;T;2021;3;Activos
;200228114;T;2021;3;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;2052453;T;2021;3;Activos
Intereses y comisiones no ganados;10461;T;2021;3;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar a costo amortiza;198165200;T;2021;3;Activos
Activo intangible;66503;T;2021;3;Activos
Impuesto diferido;423342;T;2021;3;Activos
Otros activos;1910781;T;2021;3;Activos
Total de activos;210853451;T;2021;3;
;Junio;T;2021;6;
Activos;2021;T;2021;6;Activos
Efectivo;500;T;2021;6;Activos
Depósitos en bancos:;;T;2021;6;Activos
A la vista - locales;4984945;T;2021;6;Activos
A la vista - extranjeros;1288839;T;2021;6;Activos
A plazo - locales;41090071;T;2021;6;Activos
Total de depósitos en bancos;47363855;T;2021;6;
Total de efectivo y depósitos en bancos;47364355;T;2021;6;
Arrendamientos financieros;45641339;T;2021;6;Activos
Préstamos comerciales;1190214;T;2021;6;Activos
Factorajes por cobrar;121122187;T;2021;6;Activos
;167953740;T;2021;6;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;1745037;T;2021;6;Activos
Intereses y comisiones no ganados;8870;T;2021;6;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar a costo amortiza;166199833;T;2021;6;Activos
Activo intangible;63017;T;2021;6;Activos
Impuesto diferido;399428;T;2021;6;Activos
Otros activos;2116268;T;2021;6;Activos
Total de activos;216142901;T;2021;6;
;Septiembre;T;2021;9;
Activos;2021;T;2021;9;Activos
Efectivo;501;T;2021;9;Activos
Depósitos en bancos:;;T;2021;9;Activos
A la vista - locales;5867546;T;2021;9;Activos
A la vista - extranjeros;720380;T;2021;9;Activos
A plazo - locales;6450011;T;2021;9;Activos
Total de depósitos en bancos;13037937;T;2021;9;
Total de efectivo y depósitos en bancos;13038438;T;2021;9;
Arrendamientos financieros;44281833;T;2021;9;Activos
Préstamos comerciales;1193008;T;2021;9;Activos
Factorajes por cobrar;156899407;T;2021;9;Activos
;202374248;T;2021;9;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;1769721;T;2021;9;Activos
Intereses y comisiones no ganados;7397;T;2021;9;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar a costo amortiza 7,18;200597130;T;2021;9;Activos
Activo intangible;59567;T;2021;9;Activos
Impuesto diferido;289171;T;2021;9;Activos
Otros activos;2495863;T;2021;9;Activos
Total de activos;216480169;T;2021;9;
;Junio;T;2022;6;
Activos;2022;T;2022;6;Activos
Efectivo;500;T;2022;6;Activos
Depósitos en bancos:;;T;2022;6;Activos
A la vista - locales;6146287;T;2022;6;Activos
A la vista - extranjeros;645945;T;2022;6;Activos
A plazo - locales;7870000;T;2022;6;Activos
Total de depósitos en bancos;14662232;T;2022;6;
Total de efectivo y depósitos en bancos;14662732;T;2022;6;
Arrendamientos financieros;42096427;T;2022;6;Activos
Préstamos comerciales;1189054;T;2022;6;Activos
Factorajes por cobrar;185091919;T;2022;6;Activos
;228377400;T;2022;6;
Menos: Reserva para arrendamientos financieros, préstamos comerciales y factorajes;2531029;T;2022;6;Activos
Intereses y comisiones no ganados;2949;T;2022;6;Activos
Arrendamientos financieros, préstamos comerciales y factorajes por cobrar a costo amortiz¿ 7,18;225843422;T;2022;6;Activos
Activo intangible;49655;T;2022;6;Activos
Impuesto diferido;554272;T;2022;6;Activos
Otros activos;2534449;T;2022;6;Activos
Total de activos;243644530;T;2022;6;
Pasivos y Patrimonio;;A;2017;12;
;;A;2017;12;
Financiamientos recibidos;76664297;A;2017;12;Pasivos
Otros pasivos;4210535;A;2017;12;Pasivos
Total de pasivos;80874832;A;2017;12;
;;A;2017;12;
Acciones comunes;2500000;A;2017;12;Patrimonio
Reserva regulatoria específica de créditos;785665;A;2017;12;Patrimonio
Reserva dinámica regulatoria;2110044;A;2017;12;Patrimonio
Utilidades no distribuidas;8202903;A;2017;12;Patrimonio
Total de patrimonio;13598612;A;2017;12;
Total de pasivos y patrimonio;94473444;A;2017;12;
Pasivos y Patrimonio;;A;2018;12;
;;A;2018;12;
Financiamientos recibidos;76440766;A;2018;12;Pasivos
Otros pasivos;4281448;A;2018;12;Pasivos
Total de pasivos;80722214;A;2018;12;
;;A;2018;12;
Acciones comunes;2500000;A;2018;12;Patrimonio
Reserva regulatoria de crédito;2876156;A;2018;12;Patrimonio
Provisión dinamica regulatoria;2110044;A;2018;12;Patrimonio
Utilidades no distribuidas;7610837;A;2018;12;Patrimonio
Total de patrimonio;15097037;A;2018;12;
Total de pasivos y patrimonio;95819251;A;2018;12;
Pasivos y Patrimonio;;T;2018;6;
;;T;2018;6;
Financiamientos recibidos;77460323;T;2018;6;Pasivos
Otros pasivos;2013874;T;2018;6;Pasivos
Total de pasivos;79474197;T;2018;6;
;;T;2018;6;
Acciones comunes;2500000;T;2018;6;Patrimonio
Exceso de reserva regulatoria de crédito;2068446;T;2018;6;Patrimonio
Provisión dinamica regulatoria;2110044;T;2018;6;Patrimonio
Utilidades no distribuidas;7927889;T;2018;6;Patrimonio
Total de patrimonio;14606379;T;2018;6;
Total de pasivos y patrimonio;94080576;T;2018;6;
Total de activos;167153964;A;2019;12;
Pasivos y Patrimonio;;A;2019;12;
;;A;2019;12;
Financiamientos recibidos;28414792;A;2019;12;Pasivos
Obligaciones por deuda emitida;116928125;A;2019;12;Pasivos
Otros pasivos;4904577;A;2019;12;Pasivos
Total de pasivos;150247494;A;2019;12;
;;A;2019;12;
Acciones comunes;2500000;A;2019;12;Patrimonio
Reserva regulatoria de crédito;1928866;A;2019;12;Patrimonio
Provisión dinámica regulatoria;2754671;A;2019;12;Patrimonio
Utilidades no distribuidas;9722933;A;2019;12;Patrimonio
Total de patrimonio;16906470;A;2019;12;
Total de pasivos y patrimonio;167153964;A;2019;12;
Pasivos v Patrimonio;;T;2019;12;
;;T;2019;12;
Financiamientos recibidos;28,414.79;T;2019;12;Pasivos
Obligaciones por deuda emitida;116,928.13;T;2019;12;Pasivos
Otros pasivos;4904577;T;2019;12;Pasivos
Total de pasivos;150,247.49;T;2019;12;
;;T;2019;12;
Acciones comunes;2,500,000;T;2019;12;Patrimonio
;-500;;;;
Exceso de reserva regulatoria de crédito;1745980;T;2019;12;Patrimonio
Provisión dinamica regulatoria;2754.671;T;2019;12;Patrimonio
Utilidades no distribuidas;9722933;T;2019;12;Patrimonio
Total de patrimonio;16,723,584;T;2019;12;
;-500;;;;
Total de pasivos y patrimonio;166,971,078;T;2019;12;
;-500;;;;
Pasivos y Patrimonio;;T;2019;3;
;;T;2019;3;
Financiamientos recibidos;8,811.52;T;2019;3;Pasivos
Obligaciones por deuda emitida;90452083;T;2019;3;Pasivos
Otros pasivos;2063782;T;2019;3;Pasivos
Total de pasivos;101327.38;T;2019;3;
;;T;2019;3;
Acciones comunes;2500000;T;2019;3;Patrimonio
Regulatoria de crédito;1496289;T;2019;3;Patrimonio
Provisión dinamica regulatoria;2,110.04;T;2019;3;Patrimonio
Utilidades no distribuidas;9291165;T;2019;3;Patrimonio
Total de patrimonio;15,397.50;T;2019;3;
Total de pasivos y patrimonio;116724878;T;2019;3;
Pasivos y Patrimonio;;T;2019;6;
;;T;2019;6;
Financiamientos recibidos;4937979;T;2019;6;Pasivos
Obligaciones por deuda emitida;91779167;T;2019;6;Pasivos
Otros pasivos;3581801;T;2019;6;Pasivos
Total de pasivos;100298947;T;2019;6;
;;T;2019;6;
Acciones comunes;2500000;T;2019;6;Patrimonio
Regulatoria de crédito;1870291;T;2019;6;Patrimonio
Provisión dinamica regulatoria;2754671;T;2019;6;Patrimonio
Utilidades no distribuidas;9077363;T;2019;6;Patrimonio
Total de patrimonio;16,202,325;T;2019;6;
Total de pasivos y patrimonio;116501272;T;2019;6;
Pasivos y Patrimonio;;T;2019;9;
;;T;2019;9;
Financiamientos recibidos;14408164;T;2019;9;Pasivos
Obligaciones por deuda emitida;90437500;T;2019;9;Pasivos
Otros pasivos;6,512.33;T;2019;9;Pasivos
Total de pasivos;111,358.00;T;2019;9;
;;T;2019;9;
Acciones comunes;2500000;T;2019;9;Patrimonio
Regulatoria de crédito;2046422;T;2019;9;Patrimonio
Provisión dinamica regulatoria;2754671;T;2019;9;Patrimonio
Utilidades no distribuidas;9581584;T;2019;9;Patrimonio
Total de patrimonio;16882677;T;2019;9;
Total de pasivos y patrimonio;128240672;T;2019;9;
Total de activos;206440417;A;2020;12;
Pasivos y Patrimonio;;A;2020;12;
;;A;2020;12;
Financiamientos recibidos;11.18;A;2020;12;Pasivos
;42,238,962;;;;
Obligaciones por deuda emitida;12;A;2020;12;Pasivos
;138,657,361;;;;
Otros pasivos;13;A;2020;12;Pasivos
;7,024,512;;;;
Total de pasivos;187920835;A;2020;12;
;;A;2020;12;
Acciones comunes;15;A;2020;12;Patrimonio
;2,500,000;;;;
Reserva regulatoria de crédito;4708235;A;2020;12;Patrimonio
Provisión dinámica regulatoria;3753574;A;2020;12;Patrimonio
Utilidades no distribuidas;7557773;A;2020;12;Patrimonio
Total de patrimonio;18519582;A;2020;12;
Total de pasivos y patrimonio;206440417;A;2020;12;
Pasivos y Patrimonio;;T;2020;12;
;;T;2020;12;
Financiamientos recibidos;42238962;T;2020;12;Pasivos
Obligaciones por deuda emitida;138657361;T;2020;12;Pasivos
Otros pasivos;8668809;T;2020;12;Pasivos
Total de pasivos;189565132;T;2020;12;
;;T;2020;12;
Acciones comunes;2500000;T;2020;12;Patrimonio
Reserva regulatoria de crédito;4708235;T;2020;12;Patrimonio
Provisión dinamica regulatoria;3753574;T;2020;12;Patrimonio
Utilidades no distribuidas;7557773;T;2020;12;Patrimonio
Total de patrimonio;18519582;T;2020;12;
Total de pasivos y patrimonio;208084714;T;2020;12;
Pasivos y Patrimonio;;T;2020;3;
;;T;2020;3;
Financiamientos recibidos;10.17;T;2020;3;Pasivos
;32,981,396;;;;
Obligaciones por deuda emitida;11;T;2020;3;Pasivos
;135,748,264;;;;
Otros pasivos;12;T;2020;3;Pasivos
;10,358,566;;;;
Total de pasivos;179088226;T;2020;3;
;;T;2020;3;
Acciones comunes;14;T;2020;3;Patrimonio
;2,500,000;;;;
Reserva regulatoria de crédito;2170669;T;2020;3;Patrimonio
Provisión dinamica regulatoria;3753573;T;2020;3;Patrimonio
Utilidades no distribuidas;9643395;T;2020;3;Patrimonio
Total de patrimonio;18067637;T;2020;3;
Total de pasivos y patrimonio;197155863;T;2020;3;
Pasivos y Patrimonio;;T;2020;6;
;;T;2020;6;
Financiamientos recibidos;30026147;T;2020;6;Pasivos
Obligaciones por deuda emitida;137713611;T;2020;6;Pasivos
Otros pasivos;9629348;T;2020;6;Pasivos
Total de pasivos;177369106;T;2020;6;
;;T;2020;6;
Acciones comunes;2500000;T;2020;6;Patrimonio
Reserva regulatoria de crédito;2199657;T;2020;6;Patrimonio
Provisión dinamica regulatoria;3753574;T;2020;6;Patrimonio
Utilidades no distribuidas;10046049;T;2020;6;Patrimonio
Total de patrimonio;18499280;T;2020;6;
Total de pasivos y patrimonio;195868386;T;2020;6;
Pasivos y Patrimonio;;T;2020;9;
;;T;2020;9;
Financiamientos recibidos;30079633;T;2020;9;Pasivos
Obligaciones por deuda emitida;136670417;T;2020;9;Pasivos
Otros pasivos;5814717;T;2020;9;Pasivos
Total de pasivos;172564767;T;2020;9;
;;T;2020;9;
Acciones comunes;2500000;T;2020;9;Patrimonio
Reserva regulatoria de crédito;3572423;T;2020;9;Patrimonio
Provisión dinamica regulatoria;3753574;T;2020;9;Patrimonio
Utilidades no distribuidas;9032529;T;2020;9;Patrimonio
Total de patrimonio;18858526;T;2020;9;
Total de pasivos y patrimonio;191423293;T;2020;9;
Total de activos;234324298;A;2021;12;
Pasivos y Patrimonio;;A;2021;12;
;;A;2021;12;
Financiamientos recibidos;11.18;A;2021;12;Pasivos
;35,893,714;;;;
Obligaciones por deuda emitida;12;A;2021;12;Pasivos
;154,480,764;;;;
Otros pasivos;13;A;2021;12;Pasivos
;23,873,525;;;;
Total de pasivos;214248003;A;2021;12;
;;A;2021;12;
Acciones comunes;15;A;2021;12;Patrimonio
;2,500,000;;;;
Reserva regulatoria de crédito;5645276;A;2021;12;Patrimonio
Provisión dinámica regulatoria;3753574;A;2021;12;Patrimonio
Utilidades no distribuidas;8177445;A;2021;12;Patrimonio
Total de patrimonio;20076295;A;2021;12;
Total de pasivos y patrimonio;234324298;A;2021;12;
Pasivos y Patrimonio;;T;2021;12;
;;T;2021;12;
Financiamientos recibidos;35893714;T;2021;12;Pasivos
Obligaciones por deuda emitida;154480764;T;2021;12;Pasivos
Otros pasivos;23873525;T;2021;12;Pasivos
Total de pasivos;214248003;T;2021;12;
;;T;2021;12;
Acciones comunes;2500000;T;2021;12;Patrimonio
Reserva regulatoria de crédito;5645276;T;2021;12;Patrimonio
Provisión dinámica regulatoria;3753574;T;2021;12;Patrimonio
Utilidades no distribuidas;8177445;T;2021;12;Patrimonio
Total de patrimonio;20076295;T;2021;12;
Total de pasivos y patrimonio;234324298;T;2021;12;
Pasivos y Patrimonio;;T;2021;3;
;;T;2021;3;
Financiamientos recibidos;36599353;T;2021;3;Pasivos
